id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
36001458,Newly-built Backyard Guest House near Mt Tabor,South Tabor,45.50011,-122.59669,Entire home/apt,77,30,41,22,0.31,2026-05-30
36075543,Modern Comfort | Stylish 2BD in heart of PDX,Kerns,45.52867,-122.64479,Entire home/apt,373,1,88,416,4.91,2026-06-03
36104735,#StayInMyDistrict St Johns Walk to dining & shops,Cathedral Park,45.593632,-122.760269,Entire home/apt,184,1,131,355,4.19,2026-05-31
36199575,"Hotel Rose, Stumptown Balcony King",Portland Downtown,45.51743,-122.67325,Private room,,1,0,9,0.12,2024-03-31
36199672,"Hotel Rose, Stumptown Balcony Two Doubles",Portland Downtown,45.51743,-122.67325,Private room,,1,0,7,0.09,2023-03-19
36199745,"Hotel Rose, Cityscape King",Portland Downtown,45.51743,-122.67325,Private room,,1,0,323,4.14,2024-09-13
36200025,"Hotel Rose, Stumptown King Accessible w/Shower",Portland Downtown,45.51743,-122.67325,Private room,,1,0,49,0.67,2025-07-20
36200233,"Hotel Rose, Stumptown King Accessible w/Tub",Portland Downtown,45.51743,-122.67325,Private room,,1,0,5,0.08,2023-10-20
36200341,"Hotel Rose, Stumptown King Suite",Portland Downtown,45.51743,-122.67325,Private room,,1,0,0,,
36200434,"Hotel Rose, Stumptown Two Doubles",Portland Downtown,45.51743,-122.67325,Private room,,1,0,11,0.19,2025-04-24
36200533,"Hotel Rose, Suite of Roses Accessible w/Shower",Portland Downtown,45.51743,-122.67325,Private room,,1,0,3,0.04,2023-12-08
36207629,Hip & Cozy w/ Gorgeous Private Backyard,Overlook,45.55673,-122.68534,Entire home/apt,285,2,239,189,2.24,2026-05-18
36235526,Some kind of beautiful!,Creston-Kenilworth,45.49395,-122.63474,Entire home/apt,149,3,200,55,0.66,2026-05-25
36309570,Moss Rock Retreat - Near Leach Botanical Garden!,Pleasant Valley,45.47315,-122.53359,Entire home/apt,58,30,191,475,5.64,2025-08-13
36311422,1920s Farmhouse | 4BR/2BA | Foodie District,Hosford-Abernethy,45.498741149902344,-122.64140319824219,Entire home/apt,362,1,307,415,4.92,2026-05-28
36357801,Sleek Modern Studio North Portland; Sleeps 4!,Kenton,45.58737,-122.70342,Entire home/apt,,1,0,290,3.49,2026-05-03
36429217,Sanctuary in the City,Arbor Lodge,45.57351,-122.70026,Entire home/apt,313,2,328,54,0.64,2025-07-28
36525068,"Modern, bright apartment in vibrant SE Portland",Foster-Powell,45.4922,-122.58295,Entire home/apt,200,1,134,26,0.34,2026-06-09
36573110,#StayInMyDistrict Multnomah Village Modern Retreat,Hayhurst,45.48142623901367,-122.71266174316406,Entire home/apt,235,1,168,257,3.05,2026-05-14
36588815,WorldMark Portland Studio Deluxe,Old Town/Chinatown,45.5206203,-122.6712424,Private room,678,30,365,0,,
36588887,WorldMark Portland Studio Suite,Old Town/Chinatown,45.5206203,-122.6712424,Private room,678,30,365,0,,
36593172,Modern - Private - AC - Guesthouse,Mt. Scott-Arleta,45.47685,-122.59995,Entire home/apt,151,2,154,230,2.74,2026-06-11
36610451,Urban Garden Oasis,Piedmont,45.57132,-122.67072,Entire home/apt,,30,287,0,,
36643611,"Daylight Basement w/ patio, 2 BR in SE PDX",Pleasant Valley,45.46684,-122.54111,Entire home/apt,204,2,78,15,0.43,2024-09-02
36701090,Comfort!!   King room/Downtown/pearl,Pearl,45.52825,-122.68134,Private room,,30,0,101,1.20,2021-11-21
36701278,King Suite/ Private Bath/ Proximity to everything,Pearl,45.53288,-122.68014,Private room,,30,0,78,0.93,2021-11-24
36705866,Monthly Stay | Fenced Yard | Pets | Patio | 2BR,Piedmont,45.57846,-122.67436,Entire home/apt,154,1,106,4,0.05,2019-09-29
36777168,Entertainer #7–Just Steps from the Max,Kenton,45.58425,-122.68239,Entire home/apt,124,30,288,52,0.84,2026-03-22
36777591,Dreamer #6–Just Steps from the Max,Kenton,45.5828,-122.68371,Entire home/apt,237,2,352,61,1.01,2026-01-02
36777968,Artist #2–Just Steps from the Max,Kenton,45.58468,-122.68274,Entire home/apt,109,30,333,20,0.24,2026-05-24
36778341,Strategist-Just Steps from the Max,Kenton,45.58475,-122.68462,Entire home/apt,116,30,165,2,0.02,2019-11-26
36831192,Sparkling Clean + Private 1 BR Apt w/ Kitchen+W/D,Sellwood-Moreland Improvement League,45.4840843321233,-122.64703273773193,Entire home/apt,116,6,332,108,1.31,2025-12-21
36836282,Charming Studio Near Great Food and Shopping,Sunnyside,45.51506,-122.63421,Entire home/apt,187,1,217,136,1.63,2026-05-31
36850421,Urban Cabin Oasis with Hot Tub and Gated Parking,Piedmont,45.57664,-122.66138,Entire home/apt,430,2,134,131,1.57,2026-05-10
36868347,1BR Mississippi District | 7 Min to Emanuel | W/D,Humboldt,45.55777,-122.6773,Entire home/apt,,2,325,12,0.32,2026-05-24
37014597,"Bright, Quiet,  and Private Guest House",Mt. Scott-Arleta,45.4826,-122.59695,Entire home/apt,192,2,220,114,1.36,2026-06-03
37038333,Charming Laurelhurst Courtyard Garden Studio,Laurelhurst,45.51984,-122.61741,Entire home/apt,186,2,318,61,0.76,2025-12-26
37055597,"Modern Design + Heated Floors, Close In w/ Parking",Southwest Hills,45.50618,-122.70038,Entire home/apt,,3,0,97,1.16,2026-04-09
37097929,Cozy Alberta Arts District Hideaway and Basecamp,Vernon,45.56291909999999,-122.6518687,Entire home/apt,152,3,99,27,0.33,2026-05-26
37156272,Best of Hawthorne,Buckman,45.51357,-122.64265,Entire home/apt,186,2,297,243,2.91,2026-05-27
37213399,Classic Portland Pearl District Condo,Northwest District,45.52927,-122.69112,Entire home/apt,81,30,274,6,0.10,2024-11-22
37241754,"Luxury Loft ~ Bidet, Skylight & Bed for Royalty",Richmond,45.50919,-122.61443,Entire home/apt,250,1,326,152,1.85,2026-06-05
37254170,Monthly Furnished 2BR | Pet-Friendly Craftsman,University Park,45.57771,-122.71468,Entire home/apt,158,1,290,28,0.33,2026-02-21
37326607,Studio 47--private entry & patio--dog allowed,Brentwood-Darlington,45.47466,-122.61427,Entire home/apt,,2,0,46,0.55,2023-07-16
37366706,The Division District Full Private Home,Richmond,45.504207611083984,-122.62288665771484,Entire home/apt,388,1,337,520,6.22,2026-06-06
37425670,Alberta Arts Renov. 110-yr old  Apt - fast Wifi!,King,45.56165,-122.65676,Entire home/apt,97,30,223,28,0.34,2026-01-18
37433452,Woodstock Family Home,Woodstock,45.47792,-122.62128,Entire home/apt,485,1,52,53,0.65,2026-06-08
