year,geo,purchase,unit,value,geo_label,purchase_label,unit_label
2019,NL,DW_NEW,I25_A_AVG,63.43,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2020,NL,DW_NEW,I25_A_AVG,69.0,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2021,NL,DW_NEW,I25_A_AVG,76.62,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2022,NL,DW_NEW,I25_A_AVG,86.52,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2023,NL,DW_NEW,I25_A_AVG,89.73,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2024,NL,DW_NEW,I25_A_AVG,92.54,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2025,NL,DW_NEW,I25_A_AVG,100.0,Netherlands,Purchases of newly built dwellings,"Annual average index, 2025=100"
2011,EU27,DW_NEW,RCH_A_AVG,0.5,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2012,EU27,DW_NEW,RCH_A_AVG,-2.7,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2013,EU27,DW_NEW,RCH_A_AVG,-1.8,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2014,EU27,DW_NEW,RCH_A_AVG,0.6,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2015,EU27,DW_NEW,RCH_A_AVG,2.4,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2016,EU27,DW_NEW,RCH_A_AVG,3.5,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2017,EU27,DW_NEW,RCH_A_AVG,3.8,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2018,EU27,DW_NEW,RCH_A_AVG,5.0,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2019,EU27,DW_NEW,RCH_A_AVG,4.8,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2020,EU27,DW_NEW,RCH_A_AVG,5.1,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2021,EU27,DW_NEW,RCH_A_AVG,6.8,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2022,EU27,DW_NEW,RCH_A_AVG,9.4,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2023,EU27,DW_NEW,RCH_A_AVG,5.0,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2024,EU27,DW_NEW,RCH_A_AVG,6.8,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2025,EU27,DW_NEW,RCH_A_AVG,4.9,European Union - 27 countries (from 2020),Purchases of newly built dwellings,Annual average rate of change
2006,NL,DW_NEW,RCH_A_AVG,3.2,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2007,NL,DW_NEW,RCH_A_AVG,7.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2008,NL,DW_NEW,RCH_A_AVG,-0.8,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2009,NL,DW_NEW,RCH_A_AVG,-8.5,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2010,NL,DW_NEW,RCH_A_AVG,0.8,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2011,NL,DW_NEW,RCH_A_AVG,0.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2012,NL,DW_NEW,RCH_A_AVG,-8.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2013,NL,DW_NEW,RCH_A_AVG,-3.3,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2014,NL,DW_NEW,RCH_A_AVG,0.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2015,NL,DW_NEW,RCH_A_AVG,6.5,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2016,NL,DW_NEW,RCH_A_AVG,4.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2017,NL,DW_NEW,RCH_A_AVG,7.9,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2018,NL,DW_NEW,RCH_A_AVG,10.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2019,NL,DW_NEW,RCH_A_AVG,8.3,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2020,NL,DW_NEW,RCH_A_AVG,8.8,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2021,NL,DW_NEW,RCH_A_AVG,11.0,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2022,NL,DW_NEW,RCH_A_AVG,12.9,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2023,NL,DW_NEW,RCH_A_AVG,3.7,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2024,NL,DW_NEW,RCH_A_AVG,3.1,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2025,NL,DW_NEW,RCH_A_AVG,8.1,Netherlands,Purchases of newly built dwellings,Annual average rate of change
2005,EU27,TOTAL,I15_A_AVG,85.85,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2006,EU27,TOTAL,I15_A_AVG,94.31,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2007,EU27,TOTAL,I15_A_AVG,102.32,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2008,EU27,TOTAL,I15_A_AVG,103.67,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2009,EU27,TOTAL,I15_A_AVG,99.79,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2010,EU27,TOTAL,I15_A_AVG,100.26,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2011,EU27,TOTAL,I15_A_AVG,100.88,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
