county,states_count,states,county_rows,median_2br,min_2br,min_state,max_2br,max_state
Scotland County,2,MO NC,2,987,962,MO,1012,NC
Sedgwick County,2,CO KS,2,1029,1014,CO,1043,KS
Seneca County,2,NY OH,2,1101,1057,OH,1145,NY
Seward County,2,KS NE,2,1065,1055,NE,1074,KS
Sierra County,2,CA NM,2,1270,1014,NM,1526,CA
Simpson County,2,KY MS,2,1014,905,MS,1122,KY
Spencer County,2,IN KY,2,1145,1014,IN,1276,KY
St. Joseph County,2,IN MI,2,1161,1046,MI,1276,IN
St. Louis County,2,MN MO,2,1278,1207,MN,1349,MO
Stafford County,2,KS VA,2,1700,961,KS,2438,VA
Stanton County,2,KS NE,2,1081,961,KS,1201,NE
Steele County,2,MN ND,2,1129,1014,ND,1244,MN
Steuben County,2,IN NY,2,1080,1058,NY,1102,IN
Stewart County,2,GA TN,2,999,995,TN,1002,GA
Suffolk County,2,MA NY,2,2849,2689,NY,3008,MA
Sumner County,2,KS TN,2,1422,1046,KS,1798,TN
Surry County,2,NC VA,2,1038,1012,NC,1064,VA
Talbot County,2,GA MD,2,1212,1002,GA,1421,MD
Tazewell County,2,IL VA,2,1078,943,VA,1212,IL
Terrell County,2,GA TX,2,1091,1078,TX,1103,GA
Texas County,2,MO OK,2,1021,962,MO,1079,OK
Thurston County,2,NE WA,2,1480,1014,NE,1946,WA
Tioga County,2,NY PA,2,1132,1045,PA,1219,NY
Tipton County,2,IN TN,2,1270,1239,IN,1301,TN
Trinity County,2,CA TX,2,1116,1079,TX,1153,CA
Turner County,2,GA SD,2,1115,1002,GA,1228,SD
Tyler County,2,TX WV,2,1031,944,WV,1117,TX
Upshur County,2,TX WV,2,1113,993,WV,1232,TX
Vernon County,2,MO WI,2,1046,994,MO,1097,WI
Wabash County,2,IL IN,2,1003,992,IL,1014,IN
Walton County,2,FL GA,2,1618,1474,FL,1762,GA
Walworth County,2,SD WI,2,1234,1167,SD,1300,WI
Ward County,2,ND TX,2,1228,1049,ND,1406,TX
Wells County,2,IN ND,2,1058,1014,ND,1102,IN
Westmoreland County,2,PA VA,2,1317,1245,VA,1389,PA
Whitley County,2,IN KY,2,1079,909,KY,1248,IN
Wichita County,2,KS TX,2,1053,961,KS,1145,TX
Wilcox County,2,AL GA,2,962,921,AL,1002,GA
Wilkes County,2,GA NC,2,1007,1002,GA,1012,NC
Wilkinson County,2,GA MS,2,954,905,MS,1002,GA
