month,geo,unit,value,geo_label,unit_label
2013-01,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-02,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-03,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-04,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-05,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-06,NL,I15,90.52,Netherlands,"Index, 2015=100"
2013-07,NL,I15,94.73,Netherlands,"Index, 2015=100"
2013-08,NL,I15,94.73,Netherlands,"Index, 2015=100"
2013-09,NL,I15,94.73,Netherlands,"Index, 2015=100"
2013-10,NL,I15,94.73,Netherlands,"Index, 2015=100"
2013-11,NL,I15,94.73,Netherlands,"Index, 2015=100"
2013-12,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-01,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-02,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-03,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-04,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-05,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-06,NL,I15,94.73,Netherlands,"Index, 2015=100"
2014-07,NL,I15,98.86,Netherlands,"Index, 2015=100"
2014-08,NL,I15,98.86,Netherlands,"Index, 2015=100"
2014-09,NL,I15,98.86,Netherlands,"Index, 2015=100"
2014-10,NL,I15,98.86,Netherlands,"Index, 2015=100"
2014-11,NL,I15,98.86,Netherlands,"Index, 2015=100"
2014-12,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-01,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-02,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-03,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-04,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-05,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-06,NL,I15,98.86,Netherlands,"Index, 2015=100"
2015-07,NL,I15,101.22,Netherlands,"Index, 2015=100"
2015-08,NL,I15,101.22,Netherlands,"Index, 2015=100"
2015-09,NL,I15,101.22,Netherlands,"Index, 2015=100"
2015-10,NL,I15,101.06,Netherlands,"Index, 2015=100"
2015-11,NL,I15,101.06,Netherlands,"Index, 2015=100"
2015-12,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-01,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-02,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-03,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-04,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-05,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-06,NL,I15,101.06,Netherlands,"Index, 2015=100"
2016-07,NL,I15,103.11,Netherlands,"Index, 2015=100"
2016-08,NL,I15,103.11,Netherlands,"Index, 2015=100"
2016-09,NL,I15,103.11,Netherlands,"Index, 2015=100"
2016-10,NL,I15,103.11,Netherlands,"Index, 2015=100"
2016-11,NL,I15,103.11,Netherlands,"Index, 2015=100"
2016-12,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-01,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-02,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-03,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-04,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-05,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-06,NL,I15,103.11,Netherlands,"Index, 2015=100"
2017-07,NL,I15,104.75,Netherlands,"Index, 2015=100"
2017-08,NL,I15,104.75,Netherlands,"Index, 2015=100"
2017-09,NL,I15,104.75,Netherlands,"Index, 2015=100"
2017-10,NL,I15,104.75,Netherlands,"Index, 2015=100"
2017-11,NL,I15,104.75,Netherlands,"Index, 2015=100"
2017-12,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-01,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-02,NL,I15,104.75,Netherlands,"Index, 2015=100"
2018-03,NL,I15,104.75,Netherlands,"Index, 2015=100"
